"relationship_class","source_class","target_class","source_field","target_field","cardinality"
"xcombine_nasis_ncss2pedon","lab_layer","lab_pedon","labsampnum","labsampnum","ONE_TO_MANY"
"xlayer2calculations_including_estimates_and_default_values","lab_layer","lab_calculations_including_estimates_and_default_values","labsampnum","labsampnum","ONE_TO_MANY"
"xlayer2chemical_properties","lab_layer","lab_chemical_properties","labsampnum","labsampnum","ONE_TO_MANY"
"xlayer2major_and_trace_elements_and_oxides","lab_layer","lab_major_trace_elements_and_oxides","labsampnum","labsampnum","ONE_TO_MANY"
"xlayer2mineralogy_glass_count","lab_layer","lab_mineralogy_glass_count","labsampnum","labsampnum","ONE_TO_MANY"
"xlayer2mir","lab_layer","lab_mir","layer_key","layer_key","ONE_TO_MANY"
"xlayer2physical_properties","lab_layer","lab_physical_properties","labsampnum","labsampnum","ONE_TO_MANY"
"xlayer2rosetta_key","lab_layer","lab_rosetta_key","layer_key","layer_key","ONE_TO_MANY"
"xlayer2xray_and_thermal","lab_layer","lab_xray_and_thermal","labsampnum","labsampnum","ONE_TO_MANY"
"xmethod_code2analysis_procedure","lab_method_code","lab_analysis_procedure","procedure_key","procedure_key","ONE_TO_MANY"
"xmethod_code2analyte","lab_method_code","lab_analyte","procedure_key","procedure_key","ONE_TO_MANY"
"xmir2wavelength","lab_mir","lab_mir_wavelength","d_wavelength_array_id","d_wavelength_array_id","ONE_TO_MANY"
"xpedon2site","lab_pedon","lab_site","site_key","site_key","ONE_TO_MANY"
"xpedon2webmap","lab_pedon","lab_webmap","pedon_key","pedon_key","ONE_TO_MANY"
"xpreparation2calculations_including_estimates_and_default_values","lab_preparation","lab_calculations_including_estimates_and_default_values","prep_code","prep_code","ONE_TO_MANY"
"xpreparation2chemical_properties","lab_preparation","lab_chemical_properties","prep_code","prep_code","ONE_TO_MANY"
"xpreparation2major_and_trace_elements_and_oxides","lab_preparation","lab_major_trace_elements_oxides","prep_code","prep_code","ONE_TO_MANY"
"xpreparation2mineralogy_glass_count","lab_preparation","lab_mineralogy_glass_count","prep_code","prep_code","ONE_TO_MANY"
"xpreparation2physical_properties","lab_preparation","lab_physical_properties","prep_code","prep_code","ONE_TO_MANY"
"xpreparation2xray_and_thermal","lab_preparation","lab_xray_and_thermal","prep_code","prep_code","ONE_TO_MANY"