"table_name","constraint_or_index_name","index_column_names"
"lab _mir","FDO_OBJECTID","OBJECTID"
"lab _mir","lab_mir_layer_key_index","layer_key"
"lab _mir","wavelength_arracy_id_index","d_wavelength_array_id"
"lab_analysis_procedure","FDO_OBJECTID","OBJECTID"
"lab_analysis_procedure","labprod_key_index","procedure_key"
"lab_analyte","FDO_OBJECTID","OBJECTID"
"lab_analyte","lab_analyte_key_index","analyte_key"
"lab_area","area_key","labarea_key_index"
"lab_area","FDO_OBJECTID","OBJECTID"
"lab_calculations_including_estimates_and_default_values","FDO_OBJECTID","OBJECTID"
"lab_calculations_including_estimates_and_default_values","lce_prepcode_index","prep_code"
"lab_calculations_including_estimates_and_default_values","lce_sampno_index","labsampnum"
"lab_chemical_properties","FDO_OBJECTID","OBJECTID"
"lab_chemical_properties","lcp_prepcode_index","prep_code"
"lab_chemical_properties","lcp_sampno_index","labsampnum"
"lab_combine_nasis_ncss","FDO_OBJECTID","OBJECTID"
"lab_combine_nasis_ncss","lcnn_pedonkey_index","pedon_key"
"lab_combine_nasis_ncss","lcnn_reiid_index","peiid"
"lab_combine_nasis_ncss","lcnn_sampno_index","pedlabsampnum"
"lab_combine_nasis_ncss","lcnn_sitekey_index","site_key"
"lab_layer","FDO_OBJECTID","OBJECTID"
"lab_layer","lablayer_key_index","layer_key"
"lab_layer","lablayer_sampnum_index","labsampnum"
"lab_major_trace_elements_and_oxides","FDO_OBJECTID","OBJECTID"
"lab_major_trace_elements_and_oxides","lmt_prepcode_index","prep_code"
"lab_major_trace_elements_and_oxides","lmt_sampno_index","labsampnum"
"lab_method_code","FDO_OBJECTID","OBJECTID"
"lab_method_code","lmc_prodkey_index","procedure_key"
"lab_mineralogy_glass_count","FDO_OBJECTID","OBJECTID"
"lab_mineralogy_glass_count","lapmgc_prepcode_index","prep_code"
"lab_mineralogy_glass_count","lapmgc_sampno_index","labsampnum"
"lab_mir_wavelength","FDO_OBJECTID","OBJECTID"
"lab_mir_wavelength","wavelength_array_id_index","d_wavelength_array_id"
"lab_pedon","FDO_OBJECTID","OBJECTID"
"lab_pedon","labpedon_key_index","pedon_key"
"lab_pedon","labpedon_sitekey_index","site_key"
"lab_physical_properties","FDO_OBJECTID","OBJECTID"
"lab_physical_properties","labpp_prepcode_index","prep_code"
"lab_physical_properties","labpp_sampno_index","labsampnum"
"lab_preparation","FDO_OBJECTID","OBJECTID"
"lab_preparation","lapprep_code_index","prep_code"
"lab_rosetta_key","FDO_OBJECTID","OBJECTID"
"lab_rosetta_key","rosetta_layer_key_index","layer_key"
"lab_site","FDO_OBJECTID","OBJECTID"
"lab_site","site_key_index","site_key"
"lab_webmap","FDO_OBJECTID","OBJECTID"
"lab_webmap","labwebmap_pedonkey_index","pedon_Key"
"lab_xray_and_thermal","FDO_OBJECTID","OBJECTID"
"lab_xray_and_thermal","labxray_labsamp_index","labsampnum"
"lab_xray_and_thermal","labxray_prepcode_index","prep_code"
"lab_xray_and_thermal","xray_layerkey_index","layer_key"